variant,product,trades,orig_pnl,adj_pnl,extra_charges,orig_charges_total,correct_charges_total,orig_pf,adj_pf,orig_wr,adj_wr,trades_flipped_to_loss,trades_flipped_to_win,trades_flipped_total,orig_return_pct,adj_return_pct_delta,summary_pnl_in_json,summary_pf_in_json,summary_charges_in_json,json_path,battery_run
C1_baseline,INTRADAY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,logs\backtests\20260507T161132\results\C1_baseline.json,20260507T161132
C9_xgb_only,INTRADAY,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,logs\backtests\20260507T161132\results\C9_xgb_only.json,20260507T161132
C1_baseline,INTRADAY,29,-69.33,-364.59,295.26,69.8,365.06,0.9263,0.676,37.93,37.93,0,0,0,-0.69,-2.95,-69.33,0.93,69.8,logs\backtests\20260507T161436\results\C1_baseline.json,20260507T161436
C2_xgb_trend_5pct,INTRADAY,31,163.89,-152.37,316.26,73.7,389.96,1.1938,0.8504,45.16,45.16,0,0,0,1.52,-3.16,163.89,1.19,73.7,logs\backtests\20260507T161436\results\C2_xgb_trend_5pct.json,20260507T161436
C3_xgb_trend_15pct,INTRADAY,28,-136.16,-421.37,285.2,67.21,352.41,0.8637,0.644,35.71,35.71,0,0,0,-1.35,-2.85,-136.16,0.86,67.21,logs\backtests\20260507T161436\results\C3_xgb_trend_15pct.json,20260507T161436
C4_mr_tp_60,INTRADAY,27,-210.32,-485.84,275.52,64.09,339.61,0.7789,0.5725,33.33,33.33,0,0,0,-2.1,-2.76,-210.32,0.78,64.09,logs\backtests\20260507T161436\results\C4_mr_tp_60.json,20260507T161436
C5_mr_tp_100,INTRADAY,28,6.77,-277.47,284.23,68.68,352.91,1.0076,0.7405,35.71,35.71,0,0,0,0.08,-2.84,6.77,1.01,68.68,logs\backtests\20260507T161436\results\C5_mr_tp_100.json,20260507T161436
C6_mr_z18,INTRADAY,30,106.74,-197.91,304.65,73.35,378.0,1.1194,0.8147,43.33,43.33,0,0,0,1.08,-3.05,106.74,1.12,73.35,logs\backtests\20260507T161436\results\C6_mr_z18.json,20260507T161436
C7_mr_z20,INTRADAY,30,97.93,-206.71,304.65,73.35,378.0,1.1096,0.8064,43.33,43.33,0,0,0,0.99,-3.05,97.93,1.11,73.35,logs\backtests\20260507T161436\results\C7_mr_z20.json,20260507T161436
C8_no_mean_reversion,INTRADAY,27,70.66,-203.5,274.16,66.11,340.27,1.0849,0.7978,37.04,37.04,0,0,0,0.72,-2.74,70.66,1.08,66.11,logs\backtests\20260507T161436\results\C8_no_mean_reversion.json,20260507T161436
C9_xgb_only,INTRADAY,28,-105.18,-390.3,285.12,67.3,352.42,0.8364,0.5097,46.43,46.43,0,0,0,-1.04,-2.85,-105.18,0.84,67.3,logs\backtests\20260507T161436\results\C9_xgb_only.json,20260507T161436
V10_confidence_060,INTRADAY,6,-10.07,-75.0,64.93,8.8,73.73,0.8534,0.3347,33.33,33.33,0,0,0,0.03,-0.65,-10.07,0.85,8.8,logs\backtests\20260508T155112\results\V10_confidence_060.json,20260508T155112
V11_confidence_050,INTRADAY,6,-10.07,-75.0,64.93,8.8,73.73,0.8534,0.3347,33.33,33.33,0,0,0,0.03,-0.65,-10.07,0.85,8.8,logs\backtests\20260508T155112\results\V11_confidence_050.json,20260508T155112
V12_peak_giveback_off,INTRADAY,5,-47.88,-101.93,54.04,7.42,61.46,0.3029,0.0958,20.0,20.0,0,0,0,-0.35,-0.54,-47.88,0.3,7.42,logs\backtests\20260508T155112\results\V12_peak_giveback_off.json,20260508T155112
V13_window_cap_8,INTRADAY,5,-47.88,-101.93,54.04,7.42,61.46,0.3029,0.0958,20.0,20.0,0,0,0,-0.35,-0.54,-47.88,0.3,7.42,logs\backtests\20260508T155112\results\V13_window_cap_8.json,20260508T155112
V14_opening_lockout_off,INTRADAY,5,-47.88,-101.93,54.04,7.42,61.46,0.3029,0.0958,20.0,20.0,0,0,0,-0.35,-0.54,-47.88,0.3,7.42,logs\backtests\20260508T155112\results\V14_opening_lockout_off.json,20260508T155112
V15_mr_xgb_only,INTRADAY,2,64.96,44.07,20.89,4.04,24.93,inf,inf,100.0,100.0,0,0,0,0.65,-0.21,64.96,64.96,4.04,logs\backtests\20260508T155112\results\V15_mr_xgb_only.json,20260508T155112
V1_baseline_current_shipped,INTRADAY,6,-10.07,-75.0,64.93,8.8,73.73,0.8534,0.3347,33.33,33.33,0,0,0,0.03,-0.65,-10.07,0.85,8.8,logs\backtests\20260508T155112\results\V1_baseline_current_shipped.json,20260508T155112
V2_all_filters_off,INTRADAY,7,-23.07,-98.75,75.68,10.4,86.08,0.7176,0.2765,28.57,28.57,0,0,0,-0.1,-0.76,-23.07,0.72,10.4,logs\backtests\20260508T155112\results\V2_all_filters_off.json,20260508T155112
V3_only_xgb_mr_filtered_yday,INTRADAY,6,-10.07,-75.0,64.93,8.8,73.73,0.8534,0.3347,33.33,33.33,0,0,0,0.03,-0.65,-10.07,0.85,8.8,logs\backtests\20260508T155112\results\V3_only_xgb_mr_filtered_yday.json,20260508T155112
V4_threshold_3pct,INTRADAY,7,-23.07,-98.75,75.68,10.4,86.08,0.7176,0.2765,28.57,28.57,0,0,0,-0.1,-0.76,-23.07,0.72,10.4,logs\backtests\20260508T155112\results\V4_threshold_3pct.json,20260508T155112
V5_threshold_7pct,INTRADAY,7,-23.07,-98.75,75.68,10.4,86.08,0.7176,0.2765,28.57,28.57,0,0,0,-0.1,-0.76,-23.07,0.72,10.4,logs\backtests\20260508T155112\results\V5_threshold_7pct.json,20260508T155112
V6_threshold_10pct,INTRADAY,7,-23.07,-98.75,75.68,10.4,86.08,0.7176,0.2765,28.57,28.57,0,0,0,-0.1,-0.76,-23.07,0.72,10.4,logs\backtests\20260508T155112\results\V6_threshold_10pct.json,20260508T155112
V7_filter_supertrend_only,INTRADAY,7,-23.07,-98.75,75.68,10.4,86.08,0.7176,0.2765,28.57,28.57,0,0,0,-0.1,-0.76,-23.07,0.72,10.4,logs\backtests\20260508T155112\results\V7_filter_supertrend_only.json,20260508T155112
V8_filter_rsi_only,INTRADAY,7,-23.07,-98.75,75.68,10.4,86.08,0.7176,0.2765,28.57,28.57,0,0,0,-0.1,-0.76,-23.07,0.72,10.4,logs\backtests\20260508T155112\results\V8_filter_rsi_only.json,20260508T155112
V9_filter_vwap_orb_off,INTRADAY,5,15.99,-37.88,53.87,7.69,61.56,1.3751,0.499,40.0,40.0,0,0,0,0.29,-0.54,15.99,1.38,7.69,logs\backtests\20260508T155112\results\V9_filter_vwap_orb_off.json,20260508T155112
V17_long_only_shipped,INTRADAY,235,-693.48,-3250.32,2556.84,323.92,2880.76,0.7792,0.3212,36.17,35.32,2,0,2,-6.68,-25.57,-693.48,0.78,323.92,logs\backtests\battery_nifty500_v4_long_only_validation_60d_20260527T142630\results\V17_long_only_shipped.json,battery_nifty500_v4_long_only_validation_60d_20260527T142630
V18_long_only_threshold_3pct,INTRADAY,266,-981.42,-3881.37,2899.95,358.57,3258.52,0.6941,0.2565,34.59,29.32,14,0,14,-9.58,-29.0,-981.42,0.69,358.57,logs\backtests\battery_nifty500_v4_long_only_validation_60d_20260527T142630\results\V18_long_only_threshold_3pct.json,battery_nifty500_v4_long_only_validation_60d_20260527T142630
V19_long_only_filters_off,INTRADAY,266,-981.42,-3881.37,2899.95,358.57,3258.52,0.6941,0.2565,34.59,29.32,14,0,14,-9.58,-29.0,-981.42,0.69,358.57,logs\backtests\battery_nifty500_v4_long_only_validation_60d_20260527T142630\results\V19_long_only_filters_off.json,battery_nifty500_v4_long_only_validation_60d_20260527T142630
V1_baseline_current_shipped,INTRADAY,235,-693.48,-3250.32,2556.84,323.92,2880.76,0.7792,0.3212,36.17,35.32,2,0,2,-6.68,-25.57,-693.48,0.78,323.92,logs\backtests\battery_nifty500_v4_long_only_validation_60d_20260527T142630\results\V1_baseline_current_shipped.json,battery_nifty500_v4_long_only_validation_60d_20260527T142630
V2_all_filters_off,INTRADAY,266,-981.42,-3881.37,2899.95,358.57,3258.52,0.6941,0.2565,34.59,29.32,14,0,14,-9.58,-29.0,-981.42,0.69,358.57,logs\backtests\battery_nifty500_v4_long_only_validation_60d_20260527T142630\results\V2_all_filters_off.json,battery_nifty500_v4_long_only_validation_60d_20260527T142630
V4_threshold_3pct,INTRADAY,229,-489.07,-2977.88,2488.81,319.62,2808.43,0.8447,0.3639,38.43,38.43,0,0,0,-4.8,-24.89,-489.07,0.84,319.62,logs\backtests\battery_nifty500_v4_long_only_validation_60d_20260527T142630\results\V4_threshold_3pct.json,battery_nifty500_v4_long_only_validation_60d_20260527T142630
V10_confidence_060,INTRADAY,26,-29.24,-310.8,281.56,37.74,319.3,0.8771,0.2569,42.31,34.62,2,0,2,-0.29,-2.82,-29.24,0.88,37.74,logs\backtests\battery_nifty50_60d_20260527T065700\results\V10_confidence_060.json,battery_nifty50_60d_20260527T065700
V11_confidence_050,INTRADAY,29,-67.49,-381.65,314.17,41.89,356.06,0.758,0.2197,41.38,31.03,3,0,3,-0.67,-3.14,-67.49,0.76,41.89,logs\backtests\battery_nifty50_60d_20260527T065700\results\V11_confidence_050.json,battery_nifty50_60d_20260527T065700
V12_peak_giveback_off,INTRADAY,29,-67.49,-381.65,314.17,41.89,356.06,0.758,0.2197,41.38,31.03,3,0,3,-0.67,-3.14,-67.49,0.76,41.89,logs\backtests\battery_nifty50_60d_20260527T065700\results\V12_peak_giveback_off.json,battery_nifty50_60d_20260527T065700
V13_window_cap_8,INTRADAY,29,-67.49,-381.65,314.17,41.89,356.06,0.758,0.2197,41.38,31.03,3,0,3,-0.67,-3.14,-67.49,0.76,41.89,logs\backtests\battery_nifty50_60d_20260527T065700\results\V13_window_cap_8.json,battery_nifty50_60d_20260527T065700
V14_opening_lockout_off,INTRADAY,29,-67.49,-381.65,314.17,41.89,356.06,0.758,0.2197,41.38,31.03,3,0,3,-0.67,-3.14,-67.49,0.76,41.89,logs\backtests\battery_nifty50_60d_20260527T065700\results\V14_opening_lockout_off.json,battery_nifty50_60d_20260527T065700
V15_mr_xgb_only,INTRADAY,56,10.5,-596.61,607.11,80.23,687.34,1.0166,0.3707,50.0,42.86,4,0,4,0.1,-6.07,10.5,1.02,80.23,logs\backtests\battery_nifty50_60d_20260527T065700\results\V15_mr_xgb_only.json,battery_nifty50_60d_20260527T065700
V16_completely_naked,INTRADAY,1647,-4055.26,-22399.54,18344.28,1639.01,19983.29,0.3419,0.0072,29.81,2.06,457,0,457,-40.48,-183.44,-4055.26,0.34,1639.01,logs\backtests\battery_nifty50_60d_20260527T065700\results\V16_completely_naked.json,battery_nifty50_60d_20260527T065700
V17_long_only_shipped,INTRADAY,29,-67.49,-381.65,314.17,41.89,356.06,0.758,0.2197,41.38,31.03,3,0,3,-0.67,-3.14,-67.49,0.76,41.89,logs\backtests\battery_nifty50_60d_20260527T065700\results\V17_long_only_shipped.json,battery_nifty50_60d_20260527T065700
V18_long_only_threshold_3pct,INTRADAY,27,-44.41,-336.71,292.3,39.33,331.63,0.8533,0.3059,40.74,37.04,1,0,1,-0.44,-2.92,-44.41,0.85,39.33,logs\backtests\battery_nifty50_60d_20260527T065700\results\V18_long_only_threshold_3pct.json,battery_nifty50_60d_20260527T065700
V19_long_only_filters_off,INTRADAY,30,-127.7,-452.72,325.02,43.31,368.33,0.5839,0.16,36.67,26.67,3,0,3,-1.28,-3.25,-127.7,0.58,43.31,logs\backtests\battery_nifty50_60d_20260527T065700\results\V19_long_only_filters_off.json,battery_nifty50_60d_20260527T065700
V1_baseline_current_shipped,INTRADAY,29,-67.49,-381.65,314.17,41.89,356.06,0.758,0.2197,41.38,31.03,3,0,3,-0.67,-3.14,-67.49,0.76,41.89,logs\backtests\battery_nifty50_60d_20260527T065700\results\V1_baseline_current_shipped.json,battery_nifty50_60d_20260527T065700
V2_all_filters_off,INTRADAY,30,-127.7,-452.72,325.02,43.31,368.33,0.5839,0.16,36.67,26.67,3,0,3,-1.28,-3.25,-127.7,0.58,43.31,logs\backtests\battery_nifty50_60d_20260527T065700\results\V2_all_filters_off.json,battery_nifty50_60d_20260527T065700
V3_only_xgb_mr_filtered_yday,INTRADAY,30,-127.7,-452.72,325.02,43.31,368.33,0.5839,0.16,36.67,26.67,3,0,3,-1.28,-3.25,-127.7,0.58,43.31,logs\backtests\battery_nifty50_60d_20260527T065700\results\V3_only_xgb_mr_filtered_yday.json,battery_nifty50_60d_20260527T065700
V4_threshold_3pct,INTRADAY,27,-44.41,-336.71,292.3,39.33,331.63,0.8533,0.3059,40.74,37.04,1,0,1,-0.44,-2.92,-44.41,0.85,39.33,logs\backtests\battery_nifty50_60d_20260527T065700\results\V4_threshold_3pct.json,battery_nifty50_60d_20260527T065700
V5_threshold_7pct,INTRADAY,29,-67.49,-381.65,314.17,41.89,356.06,0.758,0.2197,41.38,31.03,3,0,3,-0.67,-3.14,-67.49,0.76,41.89,logs\backtests\battery_nifty50_60d_20260527T065700\results\V5_threshold_7pct.json,battery_nifty50_60d_20260527T065700
V6_threshold_10pct,INTRADAY,30,-121.63,-446.65,325.02,43.31,368.33,0.6037,0.1713,36.67,26.67,3,0,3,-1.22,-3.25,-121.63,0.6,43.31,logs\backtests\battery_nifty50_60d_20260527T065700\results\V6_threshold_10pct.json,battery_nifty50_60d_20260527T065700
V7_filter_supertrend_only,INTRADAY,30,-127.7,-452.72,325.02,43.31,368.33,0.5839,0.16,36.67,26.67,3,0,3,-1.28,-3.25,-127.7,0.58,43.31,logs\backtests\battery_nifty50_60d_20260527T065700\results\V7_filter_supertrend_only.json,battery_nifty50_60d_20260527T065700
V8_filter_rsi_only,INTRADAY,29,-105.88,-420.06,314.18,41.87,356.05,0.6364,0.1801,37.93,27.59,3,0,3,-1.06,-3.14,-105.88,0.64,41.87,logs\backtests\battery_nifty50_60d_20260527T065700\results\V8_filter_rsi_only.json,battery_nifty50_60d_20260527T065700
V9_filter_vwap_orb_off,INTRADAY,29,-105.88,-420.06,314.18,41.87,356.05,0.6364,0.1801,37.93,27.59,3,0,3,-1.06,-3.14,-105.88,0.64,41.87,logs\backtests\battery_nifty50_60d_20260527T065700\results\V9_filter_vwap_orb_off.json,battery_nifty50_60d_20260527T065700
V10_confidence_060,INTRADAY,225,-635.87,-3082.96,2447.09,311.55,2758.64,0.7906,0.3311,36.0,35.56,1,0,1,-6.11,-24.47,-635.87,0.79,311.55,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V10_confidence_060.json,battery_v2_holdout_30d_20260528T011921
V11_confidence_050,INTRADAY,235,-694.45,-3251.32,2556.88,323.87,2880.75,0.779,0.3211,36.17,35.32,2,0,2,-6.69,-25.57,-694.45,0.78,323.87,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V11_confidence_050.json,battery_v2_holdout_30d_20260528T011921
V12_peak_giveback_off,INTRADAY,235,-693.48,-3250.32,2556.84,323.92,2880.76,0.7792,0.3212,36.17,35.32,2,0,2,-6.68,-25.57,-693.48,0.78,323.92,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V12_peak_giveback_off.json,battery_v2_holdout_30d_20260528T011921
V13_window_cap_8,INTRADAY,235,-693.48,-3250.32,2556.84,323.92,2880.76,0.7792,0.3212,36.17,35.32,2,0,2,-6.68,-25.57,-693.48,0.78,323.92,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V13_window_cap_8.json,battery_v2_holdout_30d_20260528T011921
V14_opening_lockout_off,INTRADAY,235,-693.48,-3250.32,2556.84,323.92,2880.76,0.7792,0.3212,36.17,35.32,2,0,2,-6.68,-25.57,-693.48,0.78,323.92,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V14_opening_lockout_off.json,battery_v2_holdout_30d_20260528T011921
V15_mr_xgb_only,INTRADAY,444,-326.15,-5140.31,4814.16,635.45,5449.61,0.9438,0.3859,47.3,45.72,7,0,7,-3.23,-48.14,-326.15,0.94,635.45,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V15_mr_xgb_only.json,battery_v2_holdout_30d_20260528T011921
V16_completely_naked,INTRADAY,4890,-6771.18,-62486.53,55715.35,2941.84,58657.19,0.389,0.0044,32.56,1.04,1541,0,1541,-67.64,-557.15,-6771.18,0.39,2941.84,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V16_completely_naked.json,battery_v2_holdout_30d_20260528T011921
V17_long_only_shipped,INTRADAY,236,-710.61,-3277.09,2566.47,327.14,2893.61,0.7756,0.3206,36.02,35.17,2,0,2,-6.86,-25.66,-710.61,0.78,327.14,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V17_long_only_shipped.json,battery_v2_holdout_30d_20260528T011921
V18_long_only_threshold_3pct,INTRADAY,229,-473.48,-2961.53,2488.05,320.7,2808.75,0.849,0.3655,38.43,38.43,0,0,0,-4.64,-24.88,-473.48,0.85,320.7,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V18_long_only_threshold_3pct.json,battery_v2_holdout_30d_20260528T011921
V19_long_only_filters_off,INTRADAY,266,-981.42,-3881.37,2899.95,358.57,3258.52,0.6941,0.2565,34.59,29.32,14,0,14,-9.58,-29.0,-981.42,0.69,358.57,logs\backtests\battery_v2_holdout_30d_20260528T011921\results\V19_long_only_filters_off.json,battery_v2_holdout_30d_20260528T011921
